"content","original_id","from","date_created","sentiment","original_sentiment"
"#diskon Seaworld Ancol Indomaret Promo Tiket Masuk - Harga Spesial Mulai Rp. 80.000","661457172895809536","GilaPromoDotCom","2015-11-03 15:17:33","",""
"#diskon Polo Ralph Lauren Special Deal - Diskon 58%","661457172795117568","GilaPromoDotCom","2015-11-03 15:17:33","",""
"#onlineonly #diskon Matahari Mall Further Reduction Sale - Diskon Hingga 90%","661434382360707072","GilaPromoDotCom","2015-11-03 13:47:00","",""
"#onlineonly #diskon PHD Pizza Hut Promo Makan Bareng - Menu Hemat Ber-10 Cuma Rp. 360.000","661434382339719168","GilaPromoDotCom","2015-11-03 13:47:00","",""
"#diskon Matahari Mall Further Reduction Sale - Diskon Hingga 90%","661434241717297156","GilaPromoDotCom","2015-11-03 13:46:26","",""
"#diskon PHD Pizza Hut Promo Makan Bareng - Menu Hemat Ber-10 Cuma Rp. 360.000","661434241482403840","GilaPromoDotCom","2015-11-03 13:46:26","",""
"#diskon McDonalds Fish Fillet Burger Special Deal - Promo Harga Spesial","661434241482399744","GilaPromoDotCom","2015-11-03 13:46:26","",""
"#diskon Metro Department Store Beauty Fair Great Deal - Diskon Hingga 70% & Gratis Voucher","661434241356603392","GilaPromoDotCom","2015-11-03 13:46:26","",""
"#diskon Optik Seis Special November Deal - Diskon 30%","661434241352409088","GilaPromoDotCom","2015-11-03 13:46:26","",""
"#indonesia #diskon Metro Department Store Beauty Fair Great Deal - Diskon Hingga 70% & Gratis Voucher","661426744604434432","GilaPromoDotCom","2015-11-03 13:16:39","",""
"#indonesia #diskon McDonalds Fish Fillet Burger Special Deal - Promo Harga Spesial","661426744595976192","GilaPromoDotCom","2015-11-03 13:16:39","",""
"#indonesia #diskon Lotteria Promo Santap Hemat Setiap Hari - Diskon Hingga 45%","661426744424071168","GilaPromoDotCom","2015-11-03 13:16:39","",""
"#indonesia #diskon Polo Ralph Lauren Special Deal - Diskon 58%","661426744419852288","GilaPromoDotCom","2015-11-03 13:16:39","",""
"#indonesia #diskon Optik Seis Special November Deal - Diskon 30%","661426744147226624","GilaPromoDotCom","2015-11-03 13:16:39","",""
"#diskon Dominos Pizza Promo Spesial Add On - Diskon 64%","661396712037203968","GilaPromoDotCom","2015-11-03 11:17:18","",""
"#diskon Kompas Gramedia Promo Membercard - Diskon Hingga 50%","661396711768748032","GilaPromoDotCom","2015-11-03 11:17:18","",""
"#diskon Jrep Clothing Promo Soft Opening - Diskon 20%","661396711768727556","GilaPromoDotCom","2015-11-03 11:17:18","",""
"#indonesia #diskon Les Femmes Special Offers - Tambah Rp. 50.000 Dapat 2 Item","661381865069260800","GilaPromoDotCom","2015-11-03 10:18:19","",""
"#indonesia #diskon Hoka Hoka Bento Promo Eat Fish - Harga Heboh Cuma Rp. 15.000","661381865048293376","GilaPromoDotCom","2015-11-03 10:18:19","",""
"#indonesia #diskon Dominos Pizza Promo Spesial Add On - Diskon 64%","661381865014693888","GilaPromoDotCom","2015-11-03 10:18:19","",""
"#indonesia #diskon Kyochon Restaurant Spesial Deal - Diskon 15%","661381864985350148","GilaPromoDotCom","2015-11-03 10:18:19","",""
